TestDataFile,,,,,,,,,,,,,,,,,,
id,name,movedHexes,targetDistance,attackerUnitID,attackerBlocks,attackerTerrainID,defenderUnitID,defenderBlocks,defenderTerrainID,isCombinedAttack,supportingUnitCountryID,supportingUnitID,supportingUnitBlocks,supportingUnitTerrainID,supportingUnitInSquare,supportingUnitMovedIntoMelee,expectedAllowed,expectedFinalDice
t632,FranceVsSpain_SpanishMilitiaMeleeIntoMarshVsFrenchLineInMarsh,1,1,spanish-militia,4,clear,french-line-infantry,4,marsh,FALSE,,,,,FALSE,,TRUE,2
t633,FranceVsSpain_FrenchLightInfantryMovedIntoForestMeleeAllowedVsSpanishLineInForest,1,1,french-light-infantry,4,forest,spanish-line-infantry,4,forest,FALSE,,,,,FALSE,,TRUE,3
t634,FranceVsSpain_SpanishLightInfantryRangedIntoForestRange2VsFrenchGrenadierInForest,0,2,spanish-light-infantry,5,clear,french-grenadier,4,forest,FALSE,,,,,FALSE,,TRUE,4
t640,FranceVsAustria_AustrianGrenzerInfantryMeleeIntoForestVsFrenchLineInForest,1,1,austrian-grenzer-infantry,4,clear,french-line-infantry,4,forest,FALSE,,,,,FALSE,,TRUE,3
t641,FranceVsAustria_AustrianMilitiaMeleeIntoMarshVsFrenchLineInMarsh,1,1,austrian-militia,4,clear,french-line-infantry,4,marsh,FALSE,,,,,FALSE,,TRUE,3
t642,FranceVsAustria_FrenchOldGuardMeleeIntoCastleVsAustrianLineInCastle,1,1,french-old-guard,4,clear,austrian-line-infantry,5,castle,FALSE,,,,,FALSE,,TRUE,4
t643,FranceVsAustria_AustrianFootArtilleryStandingRangedIntoTownRange3VsFrenchLineInTown,0,3,austrian-foot-artillery,3,clear,french-line-infantry,4,town,FALSE,,,,,FALSE,,TRUE,1
t650,FranceVsPrussia_PrussianGuardGrenadierMeleeIntoSandQuarryVsFrenchLineInSandQuarry,1,1,prussian-guard-grenadier,4,clear,french-line-infantry,4,sand-quarry,FALSE,,,,,FALSE,,TRUE,4
t651,FranceVsPrussia_PrussianMilitiaMeleeIntoTownVsFrenchMilitiaInTown,1,1,prussian-militia,4,clear,french-militia,4,town,FALSE,,,,,FALSE,,TRUE,2
t652,FranceVsPrussia_PrussianLightInfantryRangedIntoForestRange2VsFrenchGrenadierInForest,0,2,prussian-light-infantry,4,clear,french-grenadier,4,forest,FALSE,,,,,FALSE,,TRUE,4
t653,FranceVsPrussia_PrussianHorseArtilleryMoved2RangedIntoHillRange2BlockedVsFrenchLineOnHill,2,2,prussian-horse-artillery,3,clear,french-line-infantry,4,hill,FALSE,,,,,FALSE,,FALSE,
t660,FranceVsRussia_RussianGuardLightInfantryMeleeIntoForestVsFrenchLineInForest,1,1,russian-guard-light-infantry,4,clear,french-line-infantry,4,forest,FALSE,,,,,FALSE,,TRUE,3
t661,FranceVsRussia_RussianGuardGrenadierMeleeIntoTownVsFrenchMilitiaInTown,1,1,russian-guard-grenadier,4,clear,french-militia,4,town,FALSE,,,,,FALSE,,TRUE,3
t662,FranceVsRussia_RussianLightInfantryRangedIntoForestRange2VsFrenchGrenadierInForest,0,2,russian-light-infantry,3,clear,french-grenadier,4,forest,FALSE,,,,,FALSE,,TRUE,3
t663,FranceVsRussia_RussianGuardFootArtilleryStandingRangedIntoChurchRange4VsFrenchLineInChurch,0,4,russian-guard-foot-artillery,3,clear,french-line-infantry,4,church,FALSE,,,,,FALSE,,TRUE,0
t670,FranceCombined_BritishFootArtilleryWithBritishLineSupportRangedIntoTownVsFrenchLineInTown,0,2,british-foot-artillery,3,clear,french-line-infantry,4,town,TRUE,britain,british-line-infantry,4,clear,FALSE,FALSE,TRUE,4
t671,FranceCombined_BritishHorseArtilleryMoved1WithBritishLineSupportRangedIntoHillVsFrenchLineOnHill,1,2,british-horse-artillery,3,clear,french-line-infantry,4,hill,TRUE,britain,british-line-infantry,4,clear,FALSE,TRUE,TRUE,5
t672,FranceCombined_FrenchFootArtilleryWithFrenchLineSupportRangedIntoTownVsBritishLineInTown,0,2,french-foot-artillery,3,clear,british-line-infantry,4,town,TRUE,france,french-line-infantry,4,clear,FALSE,FALSE,TRUE,5
t673,FranceCombined_FrenchHorseArtilleryMoved1WithFrenchYoungGuardSupportRangedIntoHillVsBritishLineOnHill,1,2,french-horse-artillery,3,clear,british-line-infantry,4,hill,TRUE,france,french-young-guard,4,clear,FALSE,TRUE,TRUE,6
