ID,name,movedHexes,targetDistance,attackerUnitID,attackerBlocks,attackerTerrainID,defenderUnitID,defenderBlocks,defenderTerrainID,isCombinedAttack,supportingUnitCountryID,supportingUnitID,supportingUnitBlocks,supportingUnitTerrainID,supportingUnitInSquare,supportingUnitMovedIntoMelee,expectedAllowed,expectedFinalDice
t114,PrussiaVsRussia_PrussianLightCavalryChargeVsRussianLineOnHill,2,1,prussian-light-cavalry,3,clear,russian-line-infantry,4,hill,FALSE,,,,,,,TRUE,2
t115,FranceVsBritain_FrenchGuardHeavyCavalryChargeVsBritishGuardGrenadier,2,1,french-guard-heavy-cavalry,4,clear,british-guard-grenadier,4,town,FALSE,,,,,,,TRUE,3
t116,PortugalVsSpain_PortugueseLightCavalryAcrossFordVsSpanishLine,2,1,portuguese-light-cavalry,3,clear,spanish-line-infantry,4,ford,FALSE,,,,,,,TRUE,2
t117,AustriaVsPrussia_AustrianHeavyCavalryChargeVsPrussianLine,2,1,austrian-heavy-cavalry,4,clear,prussian-line-infantry,4,clear,FALSE,,,,,,,TRUE,5
t118,RussiaVsAustria_RussianGuardHeavyCavalryChargeVsAustrianGrenzer,2,1,russian-guard-heavy-cavalry,4,clear,austrian-grenzer-infantry,4,forest,FALSE,,,,,,,TRUE,3
t119,BritainVsPortugal_BritishLightCavalryChargeVsPortugueseMilitia,2,1,british-light-cavalry,3,clear,portuguese-militia,4,clear,FALSE,,,,,,,TRUE,3
t120,FranceVsBritain_FrenchFootArtilleryStandingFireVsBritishLine,0,5,french-foot-artillery,3,clear,british-line-infantry,4,hill,FALSE,,,,,,,TRUE,0
t121,BritainVsFrance_BritishHorseArtilleryMoveFireVsFrenchLine,1,2,british-horse-artillery,1,clear,french-line-infantry,4,hill,FALSE,,,,,,,FALSE,
t122,RussiaVsAustria_RussianGuardFootArtilleryVsAustrianLine,0,1,russian-guard-foot-artillery,3,clear,austrian-line-infantry,5,clear,FALSE,,,,,,,TRUE,5
t123,PrussiaVsBritain_PrussianHorseArtilleryMoveFireVsBritishLine,0,1,prussian-horse-artillery,1,clear,british-line-infantry,4,clear,FALSE,,,,,,,TRUE,2
t124,SpainVsPortugal_SpanishFootArtilleryVsPortugueseLine,0,3,spanish-foot-artillery,3,clear,portuguese-line-infantry,4,church,FALSE,,,,,,,TRUE,1
t125,FrenchHorseArtilleryVsAustrianLine,1,2,french-horse-artillery,3,clear,austrian-line-infantry,5,hill,FALSE,,,,,,,TRUE,2
t126,Russia_GuardFootArtilleryVsFrenchLine,0,1,russian-guard-foot-artillery,1,clear,french-line-infantry,4,town,FALSE,,,,,,,TRUE,3
t127,Britain_HorseArtilleryVsSpanishLine,0,5,british-rocket-artillery,3,clear,spanish-line-infantry,4,clear,FALSE,,,,,,,TRUE,2
t128,Austria_FootArtilleryVsPrussianLine,1,2,austrian-foot-artillery,3,clear,prussian-line-infantry,4,forest,FALSE,,,,,,,FALSE,
t129,Portugal_FootArtilleryVsFrenchGrenadier,0,2,portuguese-foot-artillery,3,clear,french-grenadier,4,hill,FALSE,,,,,,,TRUE,3
t130,RussiaCombined_RussianGuardFootArtilleryWithRussianGuardGrenadierSupportRangedIntoTownVsFrenchLineInTown,0,3,russian-guard-foot-artillery,3,clear,french-line-infantry,4,town,TRUE,russia,russian-guard-grenadier,4,clear,FALSE,FALSE,TRUE,4
t131,FranceCombined_FrenchHorseArtilleryMoved1WithFrenchCuirassierSupportMeleeVsAustrianLineOnHill,1,2,french-horse-artillery,3,clear,austrian-line-infantry,5,hill,TRUE,france,french-cuirassier,4,clear,FALSE,TRUE,TRUE,6
t132,BritainCombined_BritishFootArtilleryWithBritishLineSupportRangedIntoForestVsSpanishLineInForest,0,4,british-foot-artillery,3,clear,spanish-line-infantry,4,forest,TRUE,britain,british-line-infantry,4,clear,FALSE,FALSE,TRUE,3
t133,SpainCombined_SpanishFootArtilleryWithSpanishMilitiaSupportMeleeVsFrenchLineInTown,0,2,spanish-foot-artillery,3,clear,french-line-infantry,4,town,TRUE,spain,spanish-militia,4,clear,FALSE,TRUE,TRUE,6
t134,PortugalCombined_PortugueseFootArtilleryWithPortugueseLineSupportRangedIntoHillVsBritishLineOnHill,0,3,portuguese-foot-artillery,3,clear,british-line-infantry,4,hill,TRUE,portugal,portuguese-line-infantry,4,clear,FALSE,FALSE,TRUE,5
t135,AustriaCombined_AustrianFootArtilleryWithAustrianGrenzerSupportMeleeVsPrussianLineInForest,1,2,austrian-foot-artillery,3,clear,prussian-line-infantry,4,town,TRUE,austria,austrian-grenzer-infantry,4,clear,FALSE,TRUE,FALSE,
t136,PrussiaCombined_PrussianHorseArtilleryMoved1WithPrussianLightCavalrySupportMeleeVsRussianLightInClear,1,2,prussian-horse-artillery,3,clear,russian-light-infantry,3,clear,TRUE,prussia,prussian-light-cavalry,3,clear,FALSE,TRUE,TRUE,1
