id,countryID,name,unitClass,maxBlocks,maxMovement,maxMovementToShoot,range,standingFireRule,movingFireRule,meleeDiceRule,meleeBonusVsInfantry,canBattleAfterEnteringTerrainIDs,hasSaber,isMeleeOnly,artilleryStandingMultiBlock,artilleryStandingSingleBlock,artilleryMovingMultiBlock,artilleryMovingSingleBlock,ignoreFlags
portuguese-line-infantry,portugal,Portuguese Line Infantry,infantry,4,1,1,2,currentBlocks,halfCurrentBlocksRoundedDown,currentBlocks,FALSE,,TRUE,,,,,,0
portuguese-light-infantry,portugal,Portuguese Light Infantry,infantry,4,2,1,2,currentBlocksPlusOne,halfCurrentBlocksRoundedDownPlusOne,currentBlocks,FALSE,,TRUE,,,,,,0
portuguese-militia-infantry,portugal,Portuguese Militia,infantry,4,1,1,2,currentBlocks,halfCurrentBlocksRoundedDown,currentBlocks,FALSE,,FALSE,,,,,,0
spanish-line-infantry,spain,Spanish Line Infantry,infantry,4,1,1,2,currentBlocks,halfCurrentBlocksRoundedDownMinusOne,currentBlocksMinusOneIfMoved,FALSE,,TRUE,,,,,,0
spanish-light-infantry,spain,Spanish Light Infantry,infantry,5,2,1,2,currentBlocks,halfCurrentBlocksRoundedDown,currentBlocksMinusOneIfMoved,FALSE,forest|walled-garden|church|walled-farm,TRUE,,,,,,0
spanish-grenadier,spain,Spanish Grenadier,infantry,4,1,1,2,currentBlocks,halfCurrentBlocksRoundedDown,currentBlocksMinusOneIfMoved,FALSE,,TRUE,,,,,,1
spanish-militia,spain,Spanish Militia,infantry,4,1,1,2,currentBlocks,halfCurrentBlocksRoundedDownMinusOne,currentBlocksMinusOneIfMoved,FALSE,,FALSE,,,,,,0
russian-line-infantry,russia,Russian Line Infantry,infantry,3,1,1,2,currentBlocks,halfCurrentBlocksRoundedUp,currentBlocks,FALSE,,TRUE,,,,,,1
russian-light-infantry,russia,Russian Light Infantry,infantry,3,2,1,2,currentBlocksPlusOne,halfCurrentBlocksRoundedUpPlusOne,currentBlocks,FALSE,forest|walled-garden|church|walled-farm,TRUE,,,,,,1
russian-grenadier,russia,Russian Grenadier,infantry,4,1,1,2,currentBlocks,halfCurrentBlocksRoundedUp,currentBlocksPlusOne,FALSE,,TRUE,,,,,,1
russian-guard-light-infantry,russia,Russian Guard Light Infantry,infantry,4,2,1,2,currentBlocksPlusOne,halfCurrentBlocksRoundedUpPlusOne,currentBlocks,FALSE,forest|walled-garden|church|walled-farm,TRUE,,,,,,2
russian-guard-grenadier,russia,Russian Guard Grenadier,infantry,4,2,1,2,currentBlocksPlusOne,halfCurrentBlocksRoundedUpPlusOne,currentBlocksPlusOne,FALSE,,TRUE,,,,,,2
russian-militia,russia,Russian Militia,infantry,4,2,1,2,currentBlocks,halfCurrentBlocksRoundedDown,currentBlocks,FALSE,,FALSE,,,,,,0
prussian-line-infantry,prussia,Prussian Line Infantry,infantry,4,1,1,2,currentBlocks,halfCurrentBlocksRoundedDown,currentBlocksPlusOne,FALSE,,TRUE,,,,,,0
prussian-light-infantry,prussia,Prussian Light Infantry,infantry,4,2,1,2,currentBlocksPlusOne,halfCurrentBlocksRoundedDownPlusOne,currentBlocks,FALSE,forest|walled-garden|church|walled-farm,TRUE,,,,,,0
prussian-grenadier,prussia,Prussian Grenadier,infantry,4,1,1,2,currentBlocks,halfCurrentBlocksRoundedDown,currentBlocksPlusOne,FALSE,,TRUE,,,,,,1
prussian-guard-grenadier,prussia,Prussian Guard Grenadier,infantry,4,1,1,2,currentBlocksPlusOne,halfCurrentBlocksRoundedDownPlusOne,currentBlocksPlusOne,FALSE,,TRUE,,,,,,2
prussian-reserve-infantry,prussia,Prussian Reserve Infantry,infantry,4,1,1,2,currentBlocks,halfCurrentBlocksRoundedDown,currentBlocks,FALSE,,TRUE,,,,,,0
prussian-militia,prussia,Prussian Militia,infantry,4,1,1,2,currentBlocks,halfCurrentBlocksRoundedDown,currentBlocks,FALSE,,FALSE,,,,,,0
austrian-line-infantry,austria,Austrian Line Infantry,infantry,5,1,1,2,currentBlocks,halfCurrentBlocksRoundedDown,currentBlocks,FALSE,,TRUE,,,,,,0
austrian-light-infantry,austria,Austrian Light Infantry,infantry,4,2,1,2,currentBlocksPlusOne,halfCurrentBlocksRoundedDownPlusOne,currentBlocks,FALSE,,TRUE,,,,,,0
austrian-grenzer-infantry,austria,Austrian Grenzer Infantry,infantry,4,1,1,2,currentBlocksPlusOne,halfCurrentBlocksRoundedDownPlusOne,currentBlocks,FALSE,,FALSE,,,,,,0
austrian-grenadier,austria,Austrian Grenadier,infantry,4,1,1,2,currentBlocksPlusOne,halfCurrentBlocksRoundedDownPlusOne,currentBlocksPlusOne,FALSE,,TRUE,,,,,,1
austrian-militia,austria,Austrian Militia,infantry,4,1,1,2,currentBlocks,halfCurrentBlocksRoundedDown,currentBlocks,FALSE,,FALSE,,,,,,0
french-foot-artillery,france,French Foot Artillery,artillery,3,1,0,5,currentBlocks,currentBlocks,currentBlocks,FALSE,,TRUE,,4|3|2|1|1,3|2|1|1,,,0
french-horse-artillery,france,French Horse Artillery,artillery,3,2,1,4,currentBlocks,currentBlocks,currentBlocks,FALSE,,TRUE,,3|2|1,2|1|1,3|2|1,,0
french-guard-foot-artillery,france,French Guard Foot Artillery,artillery,3,1,1,0,currentBlocks,currentBlocks,currentBlocks,FALSE,,TRUE,,5|3|2|1|1,4|2|1|1,,,2
french-guard-horse-artillery,france,French Guard Horse Artillery,artillery,3,2,1,0,currentBlocks,currentBlocks,currentBlocks,FALSE,,TRUE,,4|2|1|1,4|2|1,3|1|1,,2
british-foot-artillery,britain,British Foot Artillery,artillery,3,1,0,0,currentBlocks,currentBlocks,currentBlocks,FALSE,,TRUE,,4|3|2|1|1,3|2|1|1,,,0
british-horse-artillery,britain,British Horse Artillery,artillery,3,2,1,0,currentBlocks,currentBlocks,currentBlocks,FALSE,,TRUE,,3|2|1|1,3|2|1,2|1|1,,0
british-rocket-battery,britain,British Rocket Battery,artillery,3,2,0,0,currentBlocks,currentBlocks,currentBlocks,FALSE,,TRUE,,2|2|2|2|2,,,,0
portuguese-foot-artillery,portugal,Portuguese Foot Artillery,artillery,3,1,0,0,currentBlocks,currentBlocks,currentBlocks,FALSE,,TRUE,,4|3|2|1|1,3|2|1|1,,,0
spanish-foot-artillery,spain,Spanish Foot Artillery,artillery,3,1,0,0,currentBlocks,currentBlocks,currentBlocks,FALSE,,TRUE,,4|3|2|1|1,3|2|1|1,,,0
austrian-foot-artillery,austria,Austrian Foot Artillery,artillery,3,1,0,0,currentBlocks,currentBlocks,currentBlocks,FALSE,,TRUE,,4|3|2|1|1,3|2|1|1,,,0
austrian-horse-artillery,austria,Austrian Horse Artillery,artillery,3,2,1,0,currentBlocks,currentBlocks,currentBlocks,FALSE,,TRUE,,3|2|1|1,3|2|1,2|1|1,,0
russian-foot-artillery,russia,Russian Foot Artillery,artillery,3,1,0,0,currentBlocks,currentBlocks,currentBlocks,FALSE,,TRUE,,4|3|2|1|1,3|2|1|1,,,0
russian-guard-foot-artillery,russia,Russian Guard Foot Artillery,artillery,3,1,0,0,currentBlocks,currentBlocks,currentBlocks,FALSE,,TRUE,,5|3|2|1|1,4|2|1|1,,,2
russian-horse-artillery,russia,Russian Horse Artillery,artillery,3,2,1,0,currentBlocks,currentBlocks,currentBlocks,FALSE,,TRUE,,3|2|1|1,3|2|1,2|1|1,,0
russian-guard-horse-artillery,russia,Russian Guard Horse Artillery,artillery,3,2,1,0,currentBlocks,currentBlocks,currentBlocks,FALSE,,TRUE,,4|2|1|1,4|2|1,3|1|1,,2
prussian-foot-artillery,prussia,Prussian Foot Artillery,artillery,3,1,0,0,currentBlocks,currentBlocks,currentBlocks,FALSE,,TRUE,,4|3|2|1|1,3|2|1|1,,,0
prussian-horse-artillery,prussia,Prussian Horse Artillery,artillery,3,2,1,0,currentBlocks,currentBlocks,currentBlocks,FALSE,,TRUE,,3|2|1|1,3|2|1,2|1|1,,0
french-light-cavalry,france,French Light Cavalry,cavalry,4,3,3,1,currentBlocks,currentBlocks,currentBlocks,FALSE,,TRUE,TRUE,,,,,0
french-light-lancer,france,French Light Lancer,cavalry,4,3,3,1,currentBlocks,currentBlocks,currentBlocks,FALSE,,TRUE,TRUE,,,,,0
french-guard-light-cavalry,france,French Guard Light Cavalry,cavalry,4,3,3,1,currentBlocks,currentBlocks,currentBlocks,FALSE,,TRUE,TRUE,,,,,2
french-guard-heavy-cavalry,france,French Guard Heavy Cavalry,cavalry,4,2,2,1,currentBlocks,currentBlocks,currentBlocksPlusOne,FALSE,,TRUE,TRUE,,,,,2
french-heavy-cavalry,france,French Heavy Cavalry,cavalry,4,2,2,1,currentBlocks,currentBlocks,currentBlocksPlusOne,FALSE,,TRUE,TRUE,,,,,0
french-cuirassier-heavy-cavalry,france,French Cuirassier Heavy Cavalry,cavalry,4,2,2,1,currentBlocks,currentBlocks,currentBlocksPlusOne,FALSE,,TRUE,TRUE,,,,,1
british-light-cavalry,britain,British Light Cavalry,cavalry,3,3,3,1,currentBlocks,currentBlocks,currentBlocks,FALSE,,TRUE,TRUE,,,,,0
british-heavy-cavalry,britain,British Heavy Cavalry,cavalry,3,2,2,1,currentBlocks,currentBlocks,currentBlocksPlusOne,FALSE,,TRUE,TRUE,,,,,0
british-guard-heavy-cavalry,britain,British Guard Heavy Cavalry,cavalry,3,2,2,1,currentBlocks,currentBlocks,currentBlocksPlusOne,FALSE,,TRUE,TRUE,,,,,2
portuguese-light-cavalry,portugal,Portuguese Light Cavalry,cavalry,3,3,3,1,currentBlocks,currentBlocks,currentBlocks,FALSE,,TRUE,TRUE,,,,,0
portuguese-heavy-cavalry,portugal,Portuguese Heavy Cavalry,cavalry,3,2,2,1,currentBlocks,currentBlocks,currentBlocksPlusOne,FALSE,,TRUE,TRUE,,,,,0
spanish-light-cavalry,spain,Spanish Light Cavalry,cavalry,3,3,3,1,currentBlocks,currentBlocks,currentBlocks,FALSE,,TRUE,TRUE,,,,,0
spanish-heavy-cavalry,spain,Spanish Heavy Cavalry,cavalry,3,2,2,1,currentBlocks,currentBlocks,currentBlocksPlusOne,FALSE,,TRUE,TRUE,,,,,0
spanish-cuirassier-cavalry,spain,Spanish Cuirassier Cavalry,cavalry,3,2,2,1,currentBlocks,currentBlocks,currentBlocksPlusOne,FALSE,,TRUE,TRUE,,,,,1
austrian-light-cavalry,austria,Austrian Light Cavalry,cavalry,4,3,3,1,currentBlocks,currentBlocks,currentBlocks,FALSE,,TRUE,TRUE,,,,,0
austrian-lancer-cavalry,austria,Austrian Lancer Cavalry,cavalry,4,3,3,1,currentBlocks,currentBlocks,currentBlocks,FALSE,,TRUE,TRUE,,,,,0
austrian-heavy-cavalry,austria,Austrian Heavy Cavalry,cavalry,4,2,2,1,currentBlocks,currentBlocks,currentBlocksPlusOne,FALSE,,TRUE,TRUE,,,,,0
austrian-cuirassier-cavalry,austria,Austrian Cuirassier Cavalry,cavalry,4,2,2,1,currentBlocks,currentBlocks,currentBlocksPlusOne,FALSE,,FALSE,TRUE,,,,,1
austrian-militia-cavalry,austria,Austrian Militia Cavalry,cavalry,4,3,3,1,currentBlocks,currentBlocks,currentBlocks,FALSE,,TRUE,TRUE,,,,,0
russian-light-cavalry,russia,Russian LIght Cavalry,cavalry,4,3,3,1,currentBlocks,currentBlocks,currentBlocks,FALSE,,TRUE,TRUE,,,,,0
russian-lancer-cavalry,russia,Russian Lancer Cavalry,cavalry,4,3,3,1,currentBlocks,currentBlocks,currentBlocks,FALSE,,TRUE,TRUE,,,,,0
russian-militia-lancer,russia,Russian Militia Lancer,cavalry,4,3,3,1,currentBlocks,currentBlocks,currentBlocks,FALSE,,TRUE,TRUE,,,,,0
russian-cossack,russia,Russian Cossack,cavalry,2,3,3,1,currentBlocks,currentBlocks,currentBlocks,FALSE,forest|walled-garden|church|walled-farm,TRUE,TRUE,,,,,0
russian-guard-light-cavalry,russia,Russian Guard Light Cavalry,cavalry,4,3,3,1,currentBlocks,currentBlocks,currentBlocks,FALSE,,TRUE,TRUE,,,,,2
russian-heavy-cavalry,russia,Russian Heavy Cavalry,cavalry,4,2,2,1,currentBlocks,currentBlocks,currentBlocksPlusOne,FALSE,,TRUE,TRUE,,,,,0
russian-cuirassier-cavalry,russia,Russian Cuirassier Cavalry,cavalry,4,2,2,1,currentBlocks,currentBlocks,currentBlocksPlusOne,FALSE,,TRUE,TRUE,,,,,1
russian-guard-heavy-cavalry,russia,Russian Guard Heavy Cavalry,cavalry,6,2,2,1,currentBlocks,currentBlocks,currentBlocksPlusOne,FALSE,,TRUE,TRUE,,,,,2
russian-guard-cuirassier-heavy-cavalry,russia,Russian Guard Cuirassier Heavy Cavalry,cavalry,6,2,2,1,currentBlocks,currentBlocks,currentBlocksPlusOne,FALSE,,TRUE,TRUE,,,,,2
prussian-light-cavalry,prussia,Prussian Light Cavalry,cavalry,3,3,3,1,currentBlocks,currentBlocks,currentBlocks,FALSE,,TRUE,TRUE,,,,,0
prussian-lancer-cavalry,prussia,Prussian Lancer Cavalry,cavalry,3,3,3,1,currentBlocks,currentBlocks,currentBlocks,FALSE,,TRUE,TRUE,,,,,0
prussian-militia-lancer-cavalry,prussia,Prussian Militia Cavalry,cavalry,3,3,3,1,currentBlocks,currentBlocks,currentBlocks,FALSE,,TRUE,TRUE,,,,,0
prussian-heavy-cavalry,prussia,Prussian Heavy Cavalry,cavalry,3,2,2,1,currentBlocks,currentBlocks,currentBlocksPlusOne,FALSE,,TRUE,TRUE,,,,,0
prussian-cuirassier-cavalry,prussia,Prussian Cuirassier Cavalry,cavalry,3,2,2,1,currentBlocks,currentBlocks,currentBlocksPlusOne,FALSE,,TRUE,TRUE,,,,,1
